iteration	bootstrap_eligible_genes	selected_complete_pattern_genes	frozen_37_selected	natural_design_attempts
287	10589	34	25	1
288	10589	33	22	2
289	10589	46	30	3
290	10589	33	13	1
291	10589	35	14	1
292	10589	39	25	1
293	10589	41	26	2
294	10589	25	13	1
295	10589	33	21	1
296	10589	57	25	1
297	10589	52	28	1
298	10589	44	23	1
299	10589	54	21	1
300	10589	33	26	3
301	10589	33	24	1
302	10589	36	29	2
303	10589	33	10	1
304	10589	39	21	2
305	10589	45	24	1
306	10589	47	29	1
307	10589	37	30	1
308	10589	33	17	1
309	10589	48	23	1
310	10589	47	24	1
311	10589	38	26	1
312	10589	38	27	1
313	10589	37	30	1
314	10589	26	12	3
315	10589	36	13	1
316	10589	56	25	1
317	10589	60	27	2
318	10589	45	28	1
319	10589	41	29	2
320	10589	35	22	2
321	10589	29	11	1
322	10589	34	25	1
323	10589	39	24	1
324	10589	39	29	3
325	10589	33	15	1
326	10589	45	27	1
327	10589	46	28	2
328	10589	43	25	1
329	10589	44	27	1
330	10589	50	22	1
331	10589	32	13	1
332	10589	24	13	1
333	10589	33	13	1
334	10589	45	24	1
335	10589	48	30	1
336	10589	39	26	1
337	10589	49	26	3
338	10589	40	34	1
339	10589	40	16	1
340	10589	39	29	1
341	10589	37	30	1
342	10589	37	29	1
343	10589	43	25	1
344	10589	48	23	1
345	10589	39	12	1
346	10589	36	26	2
347	10589	47	30	2
348	10589	42	22	1
349	10589	31	13	1
350	10589	42	29	2
351	10589	35	25	3
352	10589	32	21	1
353	10589	30	22	1
354	10589	33	22	2
355	10589	37	27	1
356	10589	31	14	1
357	10589	36	24	2
358	10589	30	11	1
359	10589	32	13	1
360	10589	36	15	3
361	10589	36	23	1
362	10589	47	31	1
363	10589	32	16	2
364	10589	40	34	2
365	10589	39	34	2
366	10589	43	30	1
367	10589	31	16	1
368	10589	57	25	2
369	10589	36	23	1
370	10589	42	29	2
371	10589	48	23	2
372	10589	49	27	2
373	10589	19	15	1
374	10589	41	28	1
375	10589	49	27	2
376	10589	33	17	4
377	10589	57	25	1
378	10589	47	31	1
379	10589	45	27	1
380	10589	29	12	1
381	10589	33	17	1
382	10589	42	23	1
383	10589	40	25	3
384	10589	56	21	3
385	10589	40	34	1
386	10589	40	34	2
387	10589	47	30	1
388	10589	29	23	1
389	10589	42	25	1
390	10589	31	18	1
391	10589	30	13	3
392	10589	45	29	2
393	10589	37	23	1
394	10589	36	26	1
395	10589	26	12	2
396	10589	26	8	1
397	10589	33	8	2
398	10589	57	25	1
399	10589	36	24	2
400	10589	38	27	1
401	10589	51	27	1
402	10589	41	25	1
403	10589	38	15	1
404	10589	33	12	1
405	10589	39	29	1
406	10589	42	27	2
407	10589	39	24	1
408	10589	37	14	1
409	10589	12	8	2
410	10589	26	20	2
411	10589	56	25	1
412	10589	41	28	1
413	10589	31	15	1
414	10589	39	29	1
415	10589	42	22	2
416	10589	38	21	1
417	10589	37	23	1
418	10589	41	25	1
419	10589	39	23	2
420	10589	51	29	4
421	10589	35	25	1
422	10589	33	17	1
423	10589	36	26	1
424	10589	37	32	1
425	10589	33	12	1
426	10589	47	23	3
427	10589	29	11	1
428	10589	35	21	1
429	10589	29	12	1
430	10589	33	28	2
431	10589	38	31	1
432	10589	44	32	2
433	10589	50	21	1
434	10589	41	26	1
435	10589	47	29	1
436	10589	37	14	4
437	10589	43	28	1
438	10589	41	26	1
439	10589	38	27	1
440	10589	35	25	1
441	10589	44	29	1
442	10589	43	25	2
443	10589	46	30	1
444	10589	32	13	2
445	10589	45	25	4
446	10589	41	29	1
447	10589	41	12	1
448	10589	42	27	1
449	10589	37	13	1
450	10589	37	21	1
451	10589	46	30	4
452	10589	38	26	2
453	10589	38	31	1
454	10589	40	24	1
455	10589	28	10	2
456	10589	43	21	1
457	10589	39	33	1
458	10589	29	12	2
459	10589	57	21	2
460	10589	35	20	1
461	10589	36	31	2
462	10589	40	25	1
463	10589	37	29	1
464	10589	57	21	1
465	10589	39	33	3
466	10589	29	10	1
467	10589	51	27	1
468	10589	25	13	2
469	10589	24	13	1
470	10589	43	22	1
471	10589	37	23	2
472	10589	45	24	1
473	10589	32	16	2
474	10589	34	25	2
475	10589	40	34	1
476	10589	31	16	2
477	10589	38	31	1
478	10589	37	27	1
479	10589	38	31	1
480	10589	32	12	2
481	10589	48	30	3
482	10589	33	15	2
483	10589	41	26	1
484	10589	42	23	2
485	10589	33	17	1
486	10589	40	24	2
