sample_id	run_accession	donor_line	genotype	treatment	analysis_group	fastq_r1_md5	fastq_r2_md5
BULK-SAM-109	SRR32559040	C1	CTRL	NT	CTRL_NT	a738def3eb157fb64d9810baab0e44bc	525b46637f4de440f40f96e726368c38
BULK-SAM-104	SRR32559042	C2	CTRL	NT	CTRL_NT	43e6a820120eb85c24488853f2d2829f	08b3f28c9372fbf7ef4c3557ca00b4f4
BULK-SAM-107	SRR32559038	C3	CTRL	NT	CTRL_NT	a2cb5da22fdc3ac704cff4f4720127b7	8cc35932e23126f5711f010ea05b91c3
BULK-SAM-160	SRR32559021	S2	SMA	NT	SMA_NT	3fc4292a610927a0e87934a8a315440e	dc57c4b56edf4dcd9d57e627c9f8da73
BULK-SAM-148	SRR32559034	S3	SMA	NT	SMA_NT	3438ba735e34196c0c1c72f093089cac	a1e45b5ac9ff19ab307e103067f5d8f0
BULK-SAM-163	SRR32559019	S2	SMA	Scramble	SMA_Scramble	5478d0fef0e73b35132ab4709f63a74b	8f9e892279432c01adbef1432a6cd7f1
BULK-SAM-151	SRR32559030	S3	SMA	Scramble	SMA_Scramble	34b1e1912b51460452354b0fe646741d	64110c79f843c6436cd7b1a1447e4fe3
BULK-SAM-166	SRR32559016	S2	SMA	R6-Mo	SMA_R6-Mo	8c95096e451ca80626d00b5b3aec5287	0e1138d4f3d8f43d7763e15957ea12f5
BULK-SAM-157	SRR32559025	S3	SMA	R6-Mo	SMA_R6-Mo	19c5d93a9c7bd5e4b59f3bac49008e12	a036c8753c5f8d16cd765da63ea6254a
