array_index	sample_id	run_accession	gsm	donor_line	genotype	treatment	replicate	analysis_group	read_pairs	base_count	read_length	fastq_bytes_total	fastq_r1_url	fastq_r2_url	fastq_r1_md5	fastq_r2_md5	ena_instrument	paper_instrument
1	BULK-SAM-109	SRR32559040	GSM8826804	C1	CTRL	NT	2	CTRL_NT	81767187	24693690474	151	10435840871	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/040/SRR32559040/SRR32559040_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/040/SRR32559040/SRR32559040_2.fastq.gz	a738def3eb157fb64d9810baab0e44bc	525b46637f4de440f40f96e726368c38	Illumina NovaSeq X Plus	Illumina NextSeq 2000
2	BULK-SAM-104	SRR32559042	GSM8826799	C2	CTRL	NT	3	CTRL_NT	76605566	23134880932	151	9738508472	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/042/SRR32559042/SRR32559042_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/042/SRR32559042/SRR32559042_2.fastq.gz	43e6a820120eb85c24488853f2d2829f	08b3f28c9372fbf7ef4c3557ca00b4f4	Illumina NovaSeq X Plus	Illumina NextSeq 2000
3	BULK-SAM-107	SRR32559038	GSM8826802	C3	CTRL	NT	3	CTRL_NT	79381846	23973317492	151	10293775418	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/038/SRR32559038/SRR32559038_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/038/SRR32559038/SRR32559038_2.fastq.gz	a2cb5da22fdc3ac704cff4f4720127b7	8cc35932e23126f5711f010ea05b91c3	Illumina NovaSeq X Plus	Illumina NextSeq 2000
4	BULK-SAM-160	SRR32559021	GSM8826819	S2	SMA	NT	3	SMA_NT	70180674	21194563548	151	9073640864	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/021/SRR32559021/SRR32559021_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/021/SRR32559021/SRR32559021_2.fastq.gz	3fc4292a610927a0e87934a8a315440e	dc57c4b56edf4dcd9d57e627c9f8da73	Illumina NovaSeq X Plus	Illumina NextSeq 2000
5	BULK-SAM-148	SRR32559034	GSM8826807	S3	SMA	NT	2	SMA_NT	65414230	19755097460	151	8369155602	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/034/SRR32559034/SRR32559034_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/034/SRR32559034/SRR32559034_2.fastq.gz	3438ba735e34196c0c1c72f093089cac	a1e45b5ac9ff19ab307e103067f5d8f0	Illumina NovaSeq X Plus	Illumina NextSeq 2000
6	BULK-SAM-163	SRR32559019	GSM8826822	S2	SMA	Scramble	3	SMA_Scramble	79219752	23924365104	151	10139738742	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/019/SRR32559019/SRR32559019_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/019/SRR32559019/SRR32559019_2.fastq.gz	5478d0fef0e73b35132ab4709f63a74b	8f9e892279432c01adbef1432a6cd7f1	Illumina NovaSeq X Plus	Illumina NextSeq 2000
7	BULK-SAM-151	SRR32559030	GSM8826810	S3	SMA	Scramble	2	SMA_Scramble	86930938	26253143276	151	11536794493	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/030/SRR32559030/SRR32559030_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/030/SRR32559030/SRR32559030_2.fastq.gz	34b1e1912b51460452354b0fe646741d	64110c79f843c6436cd7b1a1447e4fe3	Illumina NovaSeq X Plus	Illumina NextSeq 2000
8	BULK-SAM-166	SRR32559016	GSM8826825	S2	SMA	R6-Mo	2	SMA_R6-Mo	71005635	21443701770	151	9069794603	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/016/SRR32559016/SRR32559016_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/016/SRR32559016/SRR32559016_2.fastq.gz	8c95096e451ca80626d00b5b3aec5287	0e1138d4f3d8f43d7763e15957ea12f5	Illumina NovaSeq X Plus	Illumina NextSeq 2000
9	BULK-SAM-157	SRR32559025	GSM8826816	S3	SMA	R6-Mo	4	SMA_R6-Mo	74963306	22638918412	151	9596865495	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/025/SRR32559025/SRR32559025_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/025/SRR32559025/SRR32559025_2.fastq.gz	19c5d93a9c7bd5e4b59f3bac49008e12	a036c8753c5f8d16cd765da63ea6254a	Illumina NovaSeq X Plus	Illumina NextSeq 2000
